"","model","0-0.2","0.2-0.4","0.4-0.6","0.6-0.8","0.8-1.0","n"
"1",1,-0.019536356686449,-0.0254930505994059,-0.0429154027036834,0.0825476089015977,0.00634039560042821,166
"2",2,-0.0195363566868049,-0.0254930505994148,-0.0429154027787827,0.0825476220027975,0.00634031026412674,166
"3",3,-0.0943170157264801,-0.309882357096086,-0.525318479933282,1.90543646963567,2.22668426689523,166
"4",4,-0.0909807219762611,-0.243417516504214,-0.398761688116105,2.3810824096151,2.34963042835486,166
"5",5,-0.0216045350593753,-0.0240297369016994,-0.0344969570515309,0.0689836570773635,0.00336607509936948,166
"6",6,-0.0191327898151669,-0.0263775091690929,-0.0351352899841351,-0.047881815540364,-0.355173330533246,166
"7",1,0.0236397063728531,0.0257058066732457,0.0288690646367912,0.0451945477550638,0.0692365950595292,166
"8",2,0.0236397063728623,0.0257058066733932,0.0288690646640661,0.0451945477550642,0.0692365950595299,166
"9",3,0.0217584535424655,0.0184424954802606,0.0146679278299614,0.0160067994137756,0.0162370525201331,166
"10",4,0.0223009405533069,0.0190817262391708,0.0169239239156505,0.0177618049208049,0.0178412551955118,166
"11",5,0.0236665076178986,0.0256851229052818,0.0286109172388023,0.0435865096857327,0.0646204011363724,166
"12",6,0.0236858391479955,0.0258087909734967,0.0291449892838967,0.0478894986963092,0.0882420365388853,166
"13",1,0.0370670885861402,0.00610924446723349,-0.0135648681264942,0.0189960825658972,0.0211673089719011,166
"14",2,0.037067088584066,0.00610924446701566,-0.0135648681328084,0.0189960815569317,0.0211673089133826,166
"15",3,0.026871911470455,-0.00962237946220168,-0.0304101174837546,-0.000743454057951842,0.00507440219736954,166
"16",4,0.0315976071199868,0.0074166501837003,-0.453686411056261,-0.673342954546949,-1.02022468217007,166
"17",5,0.0381914279008484,0.00729597457782094,-0.0178171867459249,0.0193096514586194,0.0138142855516128,166
"18",6,0.0368312928795442,0.00679824748786095,-0.0121227044991699,0.0208200049850353,0.023292357291633,166
"19",1,0.0334315933630062,0.0363535004290444,0.0408270227423751,0.0639147423805289,0.097915331745719,166
"20",2,0.0334315933630195,0.0363535004292535,0.0408270227809482,0.0639147423805304,0.0979153317457212,166
"21",3,0.030771100096019,0.0260816272321899,0.0207435824690411,0.0226370328211465,0.0229626598869362,166
"22",4,0.0307740528797077,0.0275356309734444,0.0272449274965124,0.028790109033881,0.0298149677374861,166
"23",5,0.0223258036143902,0.0249666465528299,0.0282149666157534,0.0431755392220798,0.0647705817876199,166
"24",6,0.0223705074498121,0.0250212480266709,0.0285054618608735,0.0478261780581779,0.0884444693515354,166
