"","summary_glm","summary_gee","summary_re_nosig","summary_re","summary_cop","summary_cop_n","actuals","","","",""
"t1intercepts",-1.50092810200745,-1.49933794961794,-4.45317199106296,-4.44626013898326,-1.50831522826761,-1.3709571476124,-1.6094379124341,0.2,0.368064064064064,50,6.25
"",-1.60500440748639,-1.60500440748637,-4.74973392518407,-5.45743864611577,-1.61743410218793,-1.39010513964173,-1.6094379124341,0.2,0.469901901901902,50,6.25
"",-1.61831454237464,-1.61831454237462,-4.88164762723653,-5.40968270599789,-1.62775587265677,-1.34796078450771,-1.6094379124341,0.2,0.557573573573574,50,6.25
"",-1.62464716790128,-1.62464716790127,-4.97630089548392,-2.25396321265157,-1.63723035101672,-1.29514863189585,-1.6094379124341,0.2,0.581177177177177,50,6.25
"",-1.54825000406199,-1.54825000406198,-5.01296145241844,-4.97949711993574,-1.5991026898855,-1.1852187100223,-1.6094379124341,0.2,0.6316996996997,50,6.25
"",-1.64184142241879,-1.64184142241879,-5.06848526471245,-5.41266440206781,-1.67472954058553,-1.22148443116645,-1.6094379124341,0.2,0.648832832832833,50,6.25
"",-1.62690696165276,-1.62690696165274,-5.21551499536974,-5.47062002812938,-1.6438992108663,-1.15537162780332,-1.6094379124341,0.2,0.698318318318318,50,6.25
"",-1.61027439449723,-1.61027439449721,-5.18898371686865,-5.42551007658016,-1.64335433024344,-1.06178012671917,-1.6094379124341,0.2,0.708236236236236,50,6.25
"",-1.561976696679,-1.56197669667899,-5.16376302933571,-5.38149187273856,-1.58767510610723,-1.03723126205671,-1.6094379124341,0.2,0.725477477477477,50,6.25
"",-1.56150255359032,-1.56150255359031,-5.19731226432297,-5.38223174603244,-1.58626684228499,-1.03838571552011,-1.6094379124341,0.2,0.746194194194194,50,6.25
"",-1.59135036914062,-1.59135036914061,-5.21585173980655,-5.16996096898616,-1.55463814857232,-0.974812583797247,-1.6094379124341,0.2,0.749445445445445,50,6.25
"",-1.60378380177222,-1.60378380177221,-5.25739551357265,-5.22835227829955,-1.60458976968981,-0.992568199202883,-1.6094379124341,0.2,0.76590990990991,50,6.25
"",-1.62711493141356,-1.62711493140577,-5.26286917210953,-5.39981266204192,-1.62792047188062,-0.970640979606024,-1.6094379124341,0.2,0.779735735735736,50,6.25
"",-1.6193388204181,-1.61933854573115,-5.29840687693831,-4.73080624227172,-1.61052588754211,-0.932267080956257,-1.6094379124341,0.2,0.789497497497497,50,6.25
"",-1.61994595056842,-1.61994595056842,-5.29410209456959,-5.44310004481976,-1.63671433684042,-1.00546435977996,-1.6094379124341,0.2,0.794634634634635,50,6.25
"",-1.59591278087834,-1.59591278087832,-5.29035267772305,-4.8238419015397,-1.61020177723825,-0.864442558700132,-1.6094379124341,0.2,0.798398398398398,50,6.25
"",-1.59968438937861,-1.5996843893786,-5.32883108510042,-5.28593801020293,-1.59273953797894,-0.881258020841067,-1.6094379124341,0.2,0.811707707707708,50,6.25
"",-1.56973668887373,-1.56973668887372,-5.33473517837151,-5.42241452158382,-1.56875209241632,-0.907053620132051,-1.6094379124341,0.2,0.811483483483483,50,6.25
"",-1.66319705883478,-1.66319705883477,-5.35182761493318,-4.96264876813801,-1.65707474273318,-0.947063510419578,-1.6094379124341,0.2,0.817805805805806,50,6.25
